Time,Open,High,Low,Close,Vol
1642957200000,35228.44,35357.06,35189.99,35326.51,159.60233
1642958100000,35326.51,35350.0,35240.0,35317.31,208.39648
1642959000000,35317.31,35399.98,35290.0,35344.87,160.59782
1642959900000,35344.87,35445.49,35320.0,35332.6,151.34879
1642960800000,35332.59,35398.38,35239.28,35255.6,224.43512
1642961700000,35255.6,35293.88,35000.0,35124.35,586.85954
1642962600000,35124.36,35224.53,35020.01,35124.5,316.84993
1642963500000,35124.5,35158.45,34870.01,34956.27,552.24095
1642964400000,34956.28,35059.65,34891.0,34919.99,258.97958
1642965300000,34919.99,35134.52,34841.05,35098.26,481.24123
1642966200000,35098.25,35205.52,34655.18,34723.11,1015.21765
1642967100000,34723.11,34897.3,34601.01,34775.45,672.49323
1642968000000,34775.45,35374.54,34707.58,35284.44,612.71539
1642968900000,35280.76,35387.8,35064.17,35088.02,444.05586
1642969800000,35088.01,35238.09,35063.0,35180.46,157.54209
1642970700000,35180.47,35315.4,35157.03,35300.13,209.43131
1642971600000,35300.13,35329.8,35083.76,35192.16,311.51676
1642972500000,35192.16,35450.0,35169.78,35304.68,313.23891
1642973400000,35304.69,35536.58,35209.03,35498.27,328.14735
1642974300000,35498.27,35566.66,35325.0,35346.15,267.24272
1642975200000,35346.15,35449.99,35273.15,35322.22,240.18842
1642976100000,35319.05,35482.12,35278.4,35384.65,245.81616
1642977000000,35384.65,35411.0,35337.0,35368.99,126.36937
1642977900000,35368.99,35545.76,35319.26,35508.47,266.72313
1642978800000,35508.47,36424.0,35383.36,36365.03,2267.80185
1642979700000,36365.04,36499.0,36190.18,36326.69,1422.47463
1642980600000,36326.69,36340.17,36108.67,36198.0,942.13492
1642981500000,36196.77,36320.47,36196.16,36244.55,781.29975
1642982400000,36244.55,36251.5,35920.0,35979.04,1098.88093
1642983300000,35979.03,36052.71,35770.0,35819.42,1001.72705
1642984200000,35819.41,35904.72,35744.18,35771.37,481.59798
1642985100000,35771.38,35941.51,35771.37,35840.29,258.54552
1642986000000,35840.3,35982.51,35806.53,35900.38,467.5957
1642986900000,35900.38,36042.21,35759.03,35800.02,348.974
1642987800000,35800.03,35800.03,35636.02,35681.99,481.68657
1642988700000,35681.99,35716.32,35600.0,35652.22,470.49037
1642989600000,35650.01,35715.01,35567.72,35613.94,281.89483
1642990500000,35613.95,35666.26,35543.03,35578.76,267.17896
1642991400000,35578.77,35640.62,35330.0,35410.81,380.15331
1642992300000,35410.81,35481.99,35160.51,35201.17,449.22033
1642993200000,35201.17,35327.61,35169.0,35320.7,265.09183
1642994100000,35320.7,35354.25,35199.26,35208.65,321.78698
1642995000000,35208.65,35309.28,35208.65,35266.46,227.26317
1642995900000,35266.46,35399.99,35266.46,35338.26,363.33299
1642996800000,35338.25,35473.45,35310.01,35364.48,434.67676
1642997700000,35364.49,35425.04,35325.04,35358.24,173.78146
